0	[19005, 49400, 4447, 47813, 23688, 13491, 19472, 30861, 19386, 3153, 884, 4001, 32899, 15377, 47329, 3021, 40208, 11003, 31600, 20503, 17698, 48536, 10267, 31013, 6101, 42668, 33723, 17244, 15526, 46441, 32212, 47860, 23662, 3085, 42958, 33789, 35807, 43950, 21168]
1	[10585, 31309, 46787, 47049, 788, 26278, 8970, 34645, 31048, 9477, 35063, 33714, 10494, 11797, 45789, 40822, 312, 27109, 42816, 13465, 39325, 5643, 4940, 39495, 42987, 37109, 25235, 46671, 37823, 41081, 29773, 33786, 20402, 28730, 1411, 18049, 36682, 18478, 7064, 33554, 11135, 48535, 37112, 36957, 2548, 45418, 30731, 31543, 13755, 21804, 16463, 35047, 35136, 29814, 1685, 41929, 43453, 32275, 14523, 5586, 31221, 10836, 46920, 27459, 21585, 26540, 12741, 4056]
2	[5252, 42531, 19105, 31088, 28997, 32200, 20786, 573, 1305, 45409, 36690, 17489, 36821, 30457, 607, 13619, 14993, 21210, 612, 17600, 2117, 33269, 8765, 16879, 45296, 22044, 39419, 46104, 14481]
3	[33551, 48327]
4	[40822, 20696, 9403, 5586, 2193, 4822, 46813, 10836, 31350, 6190, 135, 3107, 31221, 4940, 32275, 29289, 28608, 41950, 28498, 14644, 36725, 41210, 11302, 21797, 39325, 2723, 30950, 3090, 6846, 31508, 37285, 41929, 41374, 33714, 36087, 12328, 34645, 312, 25235, 36682, 41258, 36957, 33109]
5	[11516, 5922, 23344, 36353, 42194, 26366]
6	[27528, 17503, 21025, 42133, 21825, 3334, 13529, 39492, 45073, 18238, 8559, 28848, 24028, 32944, 34447, 15197, 15149, 40772, 40820, 20836, 46957, 26989, 13869, 3131, 33637, 4637, 26135, 44293, 12054, 17986, 21197, 34938, 35928, 9643, 8180, 14238, 23529, 33487, 12256, 35632, 11367, 11576, 29167, 8643, 36106, 19623, 34075, 10270, 17303, 22070]
7	[45765, 44339, 17082, 1411, 39911, 1631, 39531, 7328, 21648, 533, 17706, 33638, 18896, 27406, 37472, 29281, 31255, 24342, 16935, 39242, 22230, 48503, 42534, 24973, 28631, 44039, 38862, 41554, 17274, 31606, 11533]
8	[1411, 48503, 8947, 36320, 22438, 12944, 25191, 6266, 3932, 9456, 4868, 25628, 46997, 20475, 2246, 42559, 21348, 35717, 7914, 49087, 6687, 3815, 46280, 2496, 23529, 27629, 10795, 1410, 13713, 185, 38484]
9	[9826, 14139, 5977, 13432, 12399, 9292, 31619, 8289, 27549, 440, 40072, 37372, 6915, 26712, 5844, 6351, 37641, 13001, 24831]
